version,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
ERV-ARB,0,0,0,0,1,0,0
ERV-AWA,2,7,2,4,6,4,6
ERV-BEN,5,1,2,20,13,5,4
ERV-BUL,3,4,6,10,6,2,7
ERV-CMN,2,1,8,11,7,4,3
ERV-ENG,0,7,3,2,1,0,0
ERV-HIN,1,17,6,6,7,9,10
ERV-HRV,2,2,1,0,1,1,3
ERV-HUN,3,5,5,1,3,1,2
ERV-IND,0,1,0,4,11,7,1
ERV-KAN,0,8,4,5,8,5,3
ERV-MAR,0,1,2,0,4,2,6
ERV-NEP,0,2,9,6,4,4,6
ERV-ORI,1,2,4,4,2,4,13
ERV-PAN,1,0,1,0,1,1,4
ERV-POR,1,1,3,3,5,2,2
ERV-RUS,1,5,2,1,5,3,1
ERV-SPA,3,11,10,13,16,8,3
ERV-SRP,1,3,0,0,1,1,0
ERV-TAM,0,18,14,29,20,25,21
ERV-THA,1,1,1,9,0,0,3
ERV-UKR,0,1,0,0,2,1,0
ERV-URD,0,3,1,3,2,2,6
ERV-VIE,0,0,1,1,0,2,0