countryName,ERV-AWA,ERV-BEN,ERV-BUL,ERV-CMN,ERV-ENG,ERV-HIN,ERV-HRV,ERV-HUN,ERV-IND,ERV-KAN,ERV-MAR,ERV-NEP,ERV-ORI,ERV-PAN,ERV-POR,ERV-RUS,ERV-SPA,ERV-TAM,ERV-UKR,ERV-URD,ERV-VIE
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bulgaria,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
China,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
Hungary,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,1,0,0,0,5,0,0,0,3,0,1,1,0,0,0,0,18,0,0,0
Indonesia,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nepal,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Taiwan,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
United Kingdom,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,0,0,12,0,0,1
United States,8,5,3,8,6,6,3,1,0,1,4,2,2,3,1,2,5,12,1,3,0
Viet Nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1